word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
～遣い,～づかい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,use of ~
～辛い,～づらい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,hard to do ~
～滴,～てき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,drop
～点,～てん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for scores
～島,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,kind of islands
～等,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"level, place"
～頭,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for animals
～通り,～とおり,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"in accordance with ~; following ~; ~ street, ~ avenue"
～時,～とき,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,～的时候
～ところ,～ところ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,about to do ~
～度,～ど,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,counter for occurrences; ~ degree; ~ point
～道,～どう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"kind of path, road"
～どころか,～どころか,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"rather, far from"
～内,～ない,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,inside ~
～など,～など,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,等等
～なんか,～なんか,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,in the least ~
～にくい,～にくい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,difficult to do ~
～日,～にち,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~日
～年,～ねん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~年
～年生,～ねんせい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for school year
～派,～は,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"group, party, section (mil)"
～杯,～はい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,counter for cupfuls
～泊,～はく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"counter for staying (e.g., 2 nights)"
～始める,～はじめる,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,to start doing ~
～発,～はつ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for bullets
～ばかり,～ばかり,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,"just did ~, only"
～番,～ばん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,第～
～番目,～ばんめ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~th
～費,～ひ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,cost of ~
