reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
いいわけ	言い訳	N2	A	direct	manual-secondary-exact	1	7272	1587030	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
いいわたし	言い渡し	N2	D	estimated	model+frequency+world-distribution	1	10648	1631000	{}
いえなみ	家並み	N2	D	estimated	model+frequency+world-distribution	1	15327	1587060	{}
いえぬし	家主	N2	A	direct	manual-secondary-exact	1	9307	1191990	"{""runtimeSources"":[""coverage_sourcecheck_manual""],""legacyLevel"":""N1"",""exactEvidence"":{""manual"":""N2"",""openjlpt"":""N1"",""waller"":""N1"",""tomoshi"":""N2""},""tomoshiEntryIds"":[""1191990""],""tomoshiAmbiguous"":false,""tomoshiLevelConflict"":[""N2""],""tomoshiLevelSources"":[""1191990:waller:N2""]}"
いかいよう	胃潰瘍	N2	D	estimated	model+frequency+world-distribution	1	22029	1158630	{}
いかがく	医科学	N2	D	estimated	model+frequency+world-distribution	1	11567	1613290	{}
いかく	威嚇	N2	B	direct	core-exact	1	8809	1156220	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
いかす	生かす	N2	A	direct	manual-secondary-exact	1	5824	1587070	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
いかに	いかに	N2	B	direct+conflict	core-exact	1	24596	1466970	"{""core-deck-exact"":""N2"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
いかにも	いかにも	N2	B	direct+conflict	core-exact	1	22450	1000660	"{""core-deck-exact"":""N2"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
